,0
2690,1
2691,1
2692,1
2693,1
2694,1
2695,2
2696,1
2697,1
2698,1
2699,1
2700,1
2701,1
2702,1
2703,1
2704,1
2705,1
2706,1
2707,1
2708,1
2709,1
2710,1
2711,3
2712,1
2713,1
2714,1
2715,1
2716,2
2717,1
2718,1
2719,1
2720,1
2721,1
2722,1
2723,1
2724,3
2725,1
2726,1
2727,1
2728,1
2729,1
2730,1
2731,1
2732,1
2733,1
2734,1
2735,1
2736,1
2737,1
2738,1
2739,1
2740,1
2741,1
2742,1
2743,1
2744,1
2745,1
2746,1
2747,1
2748,1
2749,1
2750,1
2751,1
2752,1
2753,1
2754,1
2755,1
2756,1
2757,1
2758,1
2759,1
2760,2
2761,1
2762,1
2763,1
2764,1
2765,1
2766,1
2767,1
2768,1
2769,1
2770,1
2771,1
2772,1
2773,1
2774,1
2775,1
2776,1
2777,1
2778,1
2779,1
2780,1
2781,1
2782,1
2783,1
2784,1
2785,1
2786,1
2787,1
2788,1
2789,1
2790,1
2791,1
2792,1
2793,1
2794,1
2795,1
2796,1
2797,1
2798,1
2799,1
2800,2
2801,2
2802,1
2803,1
2804,1
2805,3
2806,2
2807,2
2808,2
2809,2
2810,2
2811,2
2812,2
2813,2
2814,2
2815,2
2816,2
2817,2
2818,2
2819,1
2820,3
2821,6
2822,4
2823,5
2824,3
2825,5
2826,6
2827,6
2828,1
2829,7
2830,7
2831,4
2832,4
2833,2
2834,3
2835,6
2836,1
2837,1
2838,1
2839,1
2840,1
2841,1
2842,1
2843,1
2844,1
2845,1
2846,1
2847,1
2848,1
2849,1
2850,1
2851,2
2852,2
2853,2
2854,3
2855,3
2856,2
2857,7
2858,2
2859,2
2860,2
2861,2
2862,2
2863,4
2864,2
2865,2
2866,2
2867,2
2868,2
2869,2
2870,2
2871,2
2872,2
2873,2
2874,2
2875,2
2876,2
2877,3
2878,2
2879,2
2880,2
2881,4
2882,2
2883,2
2884,4
2885,2
2886,2
2887,2
2888,3
2889,2
2890,2
2891,2
2892,2
2893,2
2894,2
2895,2
2896,2
2897,2
2898,2
2899,2
2900,2
2901,2
2902,2
2903,1
2904,3
2905,1
2906,1
2907,7
2908,7
2909,2
2910,1
2911,4
2912,2
2913,2
2914,2
2915,2
2916,2
2917,3
2918,9
2919,4
2920,5
2921,3
2922,3
2923,3
2924,2
2925,4
2926,2
2927,2
2928,2
2929,3
2930,2
2931,5
2932,1
2933,1
2934,1
2935,1
2936,2
2937,1
2938,1
2939,1
2940,1
2941,1
2942,1
2943,1
2944,41
2945,4
2946,1
2947,3
2948,5
2949,2
2950,2
2951,4
2952,2
2953,2
2954,1
2955,1
2956,3
2957,1
2958,3
2959,1
2960,2
2961,3
2962,2
2963,3
2964,6
2965,3
2966,6
2967,3
2968,3
2969,2
2970,3
2971,2
2972,3
2973,2
2974,2
2975,3
2976,6
2977,1
2978,1
2979,2
2980,2
2981,2
2982,1
2983,3
2984,2
2985,1
2986,1
2987,1
2988,1
2989,1
2990,1
2991,1
2992,1
2993,1
2994,1
2995,1
